node,latitude,longitude
16,-2.14312,-79.96754
17,-2.14312,-79.96751
18,-2.14312,-79.96748
19,-2.14312,-79.96745
20,-2.14312,-79.96742
21,-2.14312,-79.96739
22,-2.14312,-79.96736
23,-2.14312,-79.96733
24,-2.14312,-79.9673
25,-2.14312,-79.96727
26,-2.14312,-79.96724
27,-2.14312,-79.96721
28,-2.14312,-79.96718
29,-2.14312,-79.96715
30,-2.14312,-79.96712
31,-2.14312,-79.96709
32,-2.14312,-79.96706
33,-2.14312,-79.96703
50,-2.14309,-79.96754
51,-2.14309,-79.96751
52,-2.14309,-79.96748
53,-2.14309,-79.96745
54,-2.14309,-79.96742
55,-2.14309,-79.96739
56,-2.14309,-79.96736
57,-2.14309,-79.96733
58,-2.14309,-79.9673
59,-2.14309,-79.96727
60,-2.14309,-79.96724
61,-2.14309,-79.96721
62,-2.14309,-79.96718
63,-2.14309,-79.96715
64,-2.14309,-79.96712
65,-2.14309,-79.96709
66,-2.14309,-79.96706
67,-2.14309,-79.96703
84,-2.14306,-79.96754
85,-2.14306,-79.96751
86,-2.14306,-79.96748
87,-2.14306,-79.96745
88,-2.14306,-79.96742
89,-2.14306,-79.96739
90,-2.14306,-79.96736
91,-2.14306,-79.96733
92,-2.14306,-79.9673
93,-2.14306,-79.96727
94,-2.14306,-79.96724
95,-2.14306,-79.96721
96,-2.14306,-79.96718
97,-2.14306,-79.96715
98,-2.14306,-79.96712
99,-2.14306,-79.96709
100,-2.14306,-79.96706
101,-2.14306,-79.96703
118,-2.14303,-79.96754
119,-2.14303,-79.96751
120,-2.14303,-79.96748
121,-2.14303,-79.96745
122,-2.14303,-79.96742
123,-2.14303,-79.96739
124,-2.14303,-79.96736
125,-2.14303,-79.96733
126,-2.14303,-79.9673
127,-2.14303,-79.96727
128,-2.14303,-79.96724
129,-2.14303,-79.96721
130,-2.14303,-79.96718
131,-2.14303,-79.96715
132,-2.14303,-79.96712
133,-2.14303,-79.96709
134,-2.14303,-79.96706
135,-2.14303,-79.96703
152,-2.143,-79.96754
153,-2.143,-79.96751
154,-2.143,-79.96748
155,-2.143,-79.96745
156,-2.143,-79.96742
157,-2.143,-79.96739
158,-2.143,-79.96736
159,-2.143,-79.96733
160,-2.143,-79.9673
161,-2.143,-79.96727
162,-2.143,-79.96724
163,-2.143,-79.96721
164,-2.143,-79.96718
165,-2.143,-79.96715
166,-2.143,-79.96712
167,-2.143,-79.96709
168,-2.143,-79.96706
169,-2.143,-79.96703
186,-2.14297,-79.96754
187,-2.14297,-79.96751
188,-2.14297,-79.96748
189,-2.14297,-79.96745
190,-2.14297,-79.96742
191,-2.14297,-79.96739
192,-2.14297,-79.96736
193,-2.14297,-79.96733
194,-2.14297,-79.9673
195,-2.14297,-79.96727
196,-2.14297,-79.96724
197,-2.14297,-79.96721
198,-2.14297,-79.96718
199,-2.14297,-79.96715
200,-2.14297,-79.96712
201,-2.14297,-79.96709
202,-2.14297,-79.96706
203,-2.14297,-79.96703
220,-2.14295,-79.96754
221,-2.14295,-79.96751
222,-2.14295,-79.96748
223,-2.14295,-79.96745
224,-2.14295,-79.96742
225,-2.14295,-79.96739
226,-2.14295,-79.96736
227,-2.14295,-79.96733
228,-2.14295,-79.9673
229,-2.14295,-79.96727
230,-2.14295,-79.96724
231,-2.14295,-79.96721
232,-2.14295,-79.96718
233,-2.14295,-79.96715
234,-2.14295,-79.96712
235,-2.14295,-79.96709
236,-2.14295,-79.96706
237,-2.14295,-79.96703
254,-2.14291,-79.96754
255,-2.14291,-79.96751
256,-2.14291,-79.96748
257,-2.14291,-79.96745
258,-2.14291,-79.96742
259,-2.14291,-79.96739
260,-2.14291,-79.96736
261,-2.14291,-79.96733
262,-2.14291,-79.9673
263,-2.14291,-79.96727
264,-2.14291,-79.96724
265,-2.14291,-79.96721
266,-2.14291,-79.96718
267,-2.14291,-79.96715
268,-2.14291,-79.96712
269,-2.14291,-79.96709
270,-2.14291,-79.96706
271,-2.14291,-79.96703
288,-2.14288,-79.96754
289,-2.14288,-79.96751
290,-2.14288,-79.96748
291,-2.14288,-79.96745
292,-2.14288,-79.96742
293,-2.14288,-79.96739
294,-2.14288,-79.96736
295,-2.14288,-79.96733
296,-2.14288,-79.9673
297,-2.14288,-79.96727
298,-2.14288,-79.96724
299,-2.14288,-79.96721
300,-2.14288,-79.96718
301,-2.14288,-79.96715
302,-2.14288,-79.96712
303,-2.14288,-79.96709
304,-2.14288,-79.96706
305,-2.14288,-79.96703
322,-2.14285,-79.96754
323,-2.14285,-79.96751
324,-2.14285,-79.96748
325,-2.14285,-79.96745
326,-2.14285,-79.96742
327,-2.14285,-79.96739
328,-2.14285,-79.96736
329,-2.14285,-79.96733
330,-2.14285,-79.9673
331,-2.14285,-79.96727
332,-2.14285,-79.96724
333,-2.14285,-79.96721
334,-2.14285,-79.96718
335,-2.14285,-79.96715
336,-2.14285,-79.96712
337,-2.14285,-79.96709
338,-2.14285,-79.96706
339,-2.14285,-79.96703
340,-2.14282,-79.96801
341,-2.14282,-79.96799
342,-2.14282,-79.96796
343,-2.14282,-79.96793
344,-2.14282,-79.9679
345,-2.14282,-79.96787
346,-2.14282,-79.96784
347,-2.14282,-79.96781
348,-2.14282,-79.96778
349,-2.14282,-79.96775
350,-2.14282,-79.96772
351,-2.14282,-79.96769
352,-2.14282,-79.96766
353,-2.14282,-79.96763
354,-2.14282,-79.9676
355,-2.14282,-79.96757
356,-2.14282,-79.96754
357,-2.14282,-79.96751
358,-2.14282,-79.96748
359,-2.14282,-79.96745
360,-2.14282,-79.96742
361,-2.14282,-79.96739
362,-2.14282,-79.96736
363,-2.14282,-79.96733
364,-2.14282,-79.9673
365,-2.14282,-79.96727
366,-2.14282,-79.96724
367,-2.14282,-79.96721
368,-2.14282,-79.96718
369,-2.14282,-79.96715
370,-2.14282,-79.96712
371,-2.14282,-79.96709
372,-2.14282,-79.96706
373,-2.14282,-79.96703
374,-2.14279,-79.96801
375,-2.14279,-79.96799
376,-2.14279,-79.96796
377,-2.14279,-79.96793
